id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_remod/add,roof_style,mas_vnr_type,mas_vnr_area,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,heating,heating_qc,central_air,electrical,low_qual_fin_sf,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_area,garage_qual,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,mo_sold,yr_sold,sale_type,saleprice,house_age,house_area,location,total_bath
2339,190,RL,100.0,34650,Pave,4,Bnk,4,Inside,3,Norm,Norm,2fmCon,1Story,5,5,1955,Hip,None,0.0,3,CBlock,3,3,3,3,1,GasA,3,N,5,0,3,1,3,5,8,0,Attchd,1955,3,572.0,3,3,264,0,0,0,0,1,2006,WD ,11.884489021402711,3961,2112.0,3,2.0
624,20,RL,92.0,10573,Pave,3,Lvl,4,Corner,3,Norm,Norm,1Fam,1Story,6,6,1961,Hip,BrkFace,3.0,3,CBlock,3,3,1,3,1,GasA,5,Y,5,0,3,1,3,6,8,3,Attchd,1961,2,530.0,3,3,0,49,0,0,288,4,2009,WD ,12.141534124392603,3970,2906.0,3,3.0
86,20,RL,65.0,8450,Pave,4,Lvl,4,Inside,3,RRAe,Norm,1Fam,1Story,5,8,2009,Gable,None,0.0,4,CBlock,3,3,1,6,4,GasA,5,Y,5,0,3,1,3,5,8,4,Detchd,1973,1,336.0,3,3,416,144,0,0,0,4,2010,WD ,11.83862560460953,3975,1788.0,2,2.0
1534,50,RL,64.0,11700,Pave,3,HLS,4,Inside,2,Norm,Norm,1Fam,1.5Fin,5,6,1995,Gable,None,0.0,3,CBlock,3,3,1,4,1,GasA,5,Y,5,0,4,1,4,7,6,4,Detchd,1937,1,240.0,3,3,0,40,0,0,0,7,2008,WD ,12.196022309676673,3945,2880.0,4,2.0
2243,190,C (all),75.0,8250,Pave,4,Lvl,4,Inside,3,Feedr,Norm,2fmCon,2Story,5,6,2006,Gable,None,0.0,4,CBlock,3,3,1,1,1,GasA,2,N,5,0,4,2,3,9,8,0,None,1895,0,0.0,0,1,0,0,133,0,0,6,2007,WD ,11.691908120498669,3902,2948.0,1,2.0
1957,50,RL,60.0,8064,Pave,4,Lvl,4,Corner,3,Artery,Norm,1Fam,1.5Fin,5,7,2006,Gable,None,0.0,4,CBlock,3,3,3,1,1,GasA,5,Y,5,0,3,1,3,6,8,1,Detchd,2003,1,576.0,3,3,0,0,0,0,0,7,2007,WD ,11.719126295554126,3956,1596.0,3,1.0
380,20,RL,80.0,9600,Pave,4,Lvl,4,Inside,3,PosN,Norm,1Fam,1Story,8,5,1981,Hip,None,0.0,3,PConc,4,3,1,5,1,GasA,3,Y,5,0,4,1,4,9,8,4,Attchd,1981,3,542.0,3,3,474,120,0,0,0,7,2009,WD ,12.535376392672774,3990,5048.0,3,3.5
2860,70,RL,64.0,11435,Pave,3,HLS,4,Corner,2,Norm,Norm,1Fam,2Story,8,7,1950,Gable,None,0.0,3,PConc,4,3,1,1,1,GasA,2,Y,5,0,3,1,4,7,8,4,Detchd,1931,1,400.0,3,3,0,0,0,0,0,6,2006,WD ,12.345834587905333,3935,2309.0,4,1.0
2517,120,RL,30.0,9549,Pave,3,Lvl,4,CulDSac,3,Norm,Norm,TwnhsE,1Story,8,5,1996,Hip,None,0.0,4,PConc,4,4,4,2,6,GasA,5,Y,5,0,2,1,5,6,8,4,Attchd,1995,3,481.0,3,3,0,30,0,0,216,4,2006,WD ,12.506177237980511,4001,2988.0,5,2.5
1933,20,RL,60.0,10950,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,6,6,1952,Hip,None,0.0,3,CBlock,3,3,1,5,1,GasA,3,Y,5,0,2,1,3,5,8,0,Detchd,1952,1,410.0,3,1,0,48,0,0,0,4,2007,WD ,11.736069016284437,3959,1896.0,3,1.0
820,20,RL,79.0,10637,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,8,5,2008,Hip,Stone,336.0,3,PConc,5,3,5,6,1,GasA,5,Y,5,0,3,1,4,7,8,4,Attchd,2007,2,826.0,3,3,208,44,0,0,0,9,2009,WD ,12.601487417784837,4016,3423.0,4,3.0
675,20,RL,80.0,9000,Pave,3,HLS,4,Inside,2,Norm,Norm,1Fam,1Story,6,6,1958,Flat,BrkFace,82.0,3,CBlock,4,3,5,1,1,GasA,2,Y,5,0,2,1,3,5,8,4,Basment,1958,2,384.0,3,3,0,28,64,0,0,4,2009,WD ,11.639558115903595,3967,1302.0,3,1.0
2910,160,RM,41.0,2665,Pave,4,Lvl,4,Inside,3,Norm,Norm,TwnhsE,2Story,5,6,1977,Gable,None,0.0,3,PConc,3,3,1,5,3,GasA,5,Y,5,0,4,1,3,6,8,3,Attchd,1977,2,336.0,3,3,104,26,0,0,0,7,2006,WD ,11.751942365440728,3983,2232.0,1,2.0
21,20,RL,105.0,11751,Pave,3,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,6,6,1977,Hip,BrkFace,480.0,3,CBlock,4,3,1,4,1,GasA,5,Y,5,0,3,1,3,7,8,3,Attchd,1977,2,546.0,3,3,0,122,0,0,0,1,2010,COD,12.154779351142624,3987,3688.0,3,2.0
1873,20,RL,80.0,9600,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,7,6,1973,Hip,BrkFace,320.0,3,CBlock,3,3,1,5,1,GasA,2,Y,5,0,3,1,3,6,8,3,Attchd,1973,1,528.0,3,3,0,0,0,0,0,9,2007,WD ,12.075394321888057,3980,2484.0,3,1.5
2125,20,RL,60.0,8428,Pave,2,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,5,7,1994,Gable,None,0.0,4,PConc,4,4,1,6,1,GasA,5,Y,5,0,3,1,3,5,8,0,Detchd,1995,1,384.0,3,3,256,0,0,0,0,7,2007,WD ,11.891361900690473,4001,1980.0,4,2.0
1489,20,RL,75.0,9937,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,5,6,1965,Gable,None,0.0,3,CBlock,3,3,1,4,2,GasA,4,Y,5,0,3,1,3,6,8,0,Attchd,1965,3,276.0,3,3,736,68,0,0,0,6,2008,WD ,11.901583454762012,3973,2512.0,1,2.5
2383,20,RL,107.0,13891,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,10,5,2006,Gable,None,0.0,3,PConc,5,4,5,6,1,GasA,5,Y,5,0,2,1,5,7,8,4,Attchd,2006,3,850.0,3,3,216,229,0,0,0,9,2006,New,13.049792684569493,4012,4152.0,5,3.5
983,85,RL,74.0,9101,Pave,3,Lvl,4,Corner,3,Norm,Norm,1Fam,SFoyer,5,6,1978,Gable,BrkFace,104.0,4,PConc,4,3,4,6,1,GasA,5,Y,5,0,1,1,4,4,8,3,Attchd,1978,3,602.0,3,3,303,30,0,0,0,7,2009,WD ,12.016726473799254,3987,2207.0,3,2.0
1325,50,RM,81.0,12150,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1.5Fin,5,5,1954,Gable,BrkFace,335.0,3,BrkTil,3,3,1,1,1,GasA,5,N,3,0,4,1,3,7,8,0,Attchd,1954,1,352.0,2,3,0,0,0,0,0,11,2008,WD ,11.786762130599957,3962,2845.0,1,2.0
1378,20,RL,70.0,11200,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,5,5,1965,Hip,None,0.0,3,CBlock,3,3,1,3,1,GasA,5,Y,5,0,3,1,3,5,8,0,Detchd,1965,1,384.0,3,3,0,0,0,0,0,2,2008,WD ,11.771436160121729,3973,2080.0,2,2.0
1537,70,RL,100.0,9670,Pave,3,HLS,4,Inside,2,Norm,Norm,1Fam,2Story,8,6,1950,Gable,Stone,40.0,3,PConc,3,2,1,2,1,GasA,3,Y,5,0,4,1,3,9,8,4,Detchd,1935,3,786.0,2,3,0,0,207,0,0,6,2008,WD ,12.45712704000522,3943,2481.0,4,1.5
905,50,RL,60.0,10998,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1.5Fin,5,5,1960,Gable,None,0.0,3,CBlock,3,3,1,2,4,GasA,5,Y,5,0,3,1,3,6,6,0,Detchd,1977,1,660.0,3,3,0,68,0,0,0,7,2009,WD ,11.669929213779893,3950,2588.0,1,2.0
1532,70,RL,60.0,7200,Pave,4,HLS,4,Inside,2,Norm,Norm,1Fam,2Story,7,6,2000,Gable,None,0.0,2,BrkTil,4,3,1,1,1,GasA,3,Y,5,0,3,1,3,6,8,4,Attchd,1931,2,270.0,3,2,0,0,112,0,0,2,2008,WD ,11.911701584927597,3939,2278.0,4,1.5
132,20,RL,80.0,9920,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,5,5,1954,Gable,Stone,110.0,3,CBlock,3,3,1,3,2,GasA,3,Y,5,0,3,1,3,6,8,0,Attchd,1954,2,280.0,3,3,0,0,164,0,0,2,2010,WD ,11.759785542901755,3964,2119.0,3,2.0
1078,160,RL,36.0,2448,Pave,4,Lvl,4,Inside,3,Norm,Norm,Twnhs,2Story,7,5,2004,Gable,Stone,106.0,3,PConc,4,3,1,1,1,GasA,5,Y,5,0,2,1,4,6,8,0,BuiltIn,2003,2,474.0,3,3,0,27,0,0,0,10,2008,WD ,11.951180395901384,4011,2390.0,5,2.5
2511,160,FV,73.0,2998,Pave,4,Lvl,4,Inside,3,Norm,Norm,TwnhsE,2Story,6,5,2000,Gable,BrkFace,513.0,3,PConc,4,3,1,6,1,GasA,5,Y,5,0,2,1,4,4,8,0,Detchd,2000,1,440.0,3,3,0,32,0,0,0,6,2006,WD ,12.01974306733868,4006,2280.0,4,2.5
912,50,RL,65.0,7804,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1.5Fin,4,3,1950,Gable,None,0.0,3,BrkTil,3,3,1,4,1,GasA,3,Y,5,0,4,1,4,7,6,3,Detchd,1981,1,576.0,3,3,431,44,0,0,0,12,2009,WD ,11.813030057420567,3937,3103.0,2,3.0
2351,60,RL,80.0,16692,Pave,3,Lvl,4,Inside,3,RRAn,Norm,1Fam,2Story,7,5,1978,Gable,BrkFace,184.0,3,CBlock,4,3,1,4,2,GasA,3,Y,5,0,5,1,4,12,8,3,Attchd,1978,2,564.0,3,3,0,112,0,0,440,7,2006,WD ,12.429216196844383,3984,4176.0,3,4.5
330,160,RM,21.0,1476,Pave,4,Lvl,4,Inside,3,Norm,Norm,Twnhs,2Story,4,7,1970,Gable,None,0.0,3,CBlock,3,3,1,6,1,GasA,5,Y,5,0,3,1,3,5,8,0,None,1970,0,0.0,0,3,200,26,0,0,0,3,2010,WD ,11.238488619268468,3980,1638.0,1,1.5
2586,20,RL,75.0,10170,Pave,4,Lvl,4,Corner,3,Norm,Norm,1Fam,1Story,6,6,1951,Hip,BrkFace,522.0,3,CBlock,3,3,1,1,1,GasA,3,Y,5,0,2,1,4,5,8,4,Attchd,1951,1,400.0,3,3,0,0,0,0,0,6,2006,WD ,11.951180395901384,3957,1791.0,3,1.5
224,60,RL,80.0,9364,Pave,4,Lvl,4,Corner,3,Norm,Norm,1Fam,2Story,6,7,1969,Gable,Stone,143.0,3,CBlock,3,3,1,5,1,GasA,3,Y,5,0,4,1,3,7,8,0,Attchd,1969,3,299.0,3,3,379,36,0,0,0,3,2010,WD ,11.970350312009105,3979,2015.0,2,1.5
98,160,FV,24.0,2544,Pave,4,Lvl,4,Inside,3,Norm,Norm,Twnhs,2Story,7,5,2005,Gable,None,0.0,3,PConc,4,3,1,6,5,GasA,5,Y,5,0,2,1,4,4,8,0,Detchd,2004,2,480.0,3,3,0,172,0,0,0,2,2010,WD ,11.915051671812877,4014,1800.0,4,3.5
2565,20,RL,82.0,9888,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,5,6,1975,Gable,None,0.0,4,CBlock,3,3,1,4,1,GasA,3,Y,4,0,2,1,3,5,8,0,Attchd,1954,1,240.0,3,3,0,0,160,0,0,3,2006,WD ,11.703545824578878,3960,1872.0,3,1.0
1934,20,RL,68.0,7942,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,6,7,1953,Hip,None,0.0,3,CBlock,3,3,1,3,5,GasA,3,Y,3,0,3,1,3,6,8,0,Attchd,1953,3,293.0,3,3,0,0,0,0,0,6,2007,WD ,11.820410164718188,3960,2080.0,3,1.5
997,60,RL,63.0,15038,Pave,2,Lvl,4,Corner,3,Norm,Norm,1Fam,2Story,6,5,1996,Gable,None,0.0,3,PConc,4,3,1,3,1,GasA,4,Y,5,0,3,1,3,7,8,3,Attchd,1996,3,386.0,3,3,168,84,0,0,0,11,2008,WD ,12.061046873479915,4004,2552.0,3,2.5
64,60,RL,92.0,11764,Pave,3,Lvl,4,CulDSac,3,Norm,Norm,1Fam,2Story,8,7,2007,Gable,BrkFace,348.0,3,PConc,4,3,1,6,1,GasA,5,Y,5,0,4,1,4,9,8,4,Attchd,1999,3,671.0,3,3,132,57,0,0,0,4,2010,WD ,12.577636201962656,4009,3422.0,5,2.5
1799,60,FV,75.0,9000,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,2Story,8,5,2007,Gable,None,0.0,3,PConc,4,3,4,6,1,GasA,5,Y,5,0,4,1,5,11,8,4,BuiltIn,2007,3,550.0,3,3,208,364,0,0,0,8,2007,New,12.623061104072981,4014,3794.0,4,2.5
230,20,RL,82.5,20062,Pave,3,Low,4,Inside,2,Norm,Norm,1Fam,1Story,7,7,2001,Hip,None,0.0,4,CBlock,4,3,5,5,1,GasA,4,Y,5,0,1,1,3,4,8,3,Attchd,1977,2,690.0,3,3,496,0,0,0,0,4,2010,WD ,12.506177237980511,3987,2903.0,5,2.5
1295,50,RM,81.0,7308,Pave,4,Lvl,4,Corner,3,Artery,Norm,1Fam,1.5Fin,5,5,1950,Gable,None,0.0,2,BrkTil,3,3,1,3,1,GasA,4,N,4,0,2,1,5,6,8,4,Detchd,1920,1,225.0,2,1,0,0,236,0,0,6,2008,WD ,11.713823407337118,3928,2676.0,1,1.0
638,20,RL,70.0,8750,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,5,5,1955,Gable,None,0.0,3,CBlock,3,3,1,3,2,GasA,4,Y,4,0,3,1,4,6,8,0,Attchd,1955,1,350.0,3,3,280,0,0,0,0,7,2009,WD ,11.938193200374572,3964,2764.0,3,1.5
2278,20,RL,70.0,8402,Pave,4,Lvl,4,Inside,3,Feedr,Norm,1Fam,1Story,5,5,2007,Gable,None,0.0,3,PConc,4,3,1,5,1,GasA,5,Y,5,0,3,1,3,6,8,0,None,2007,0,0.0,0,3,0,30,0,0,0,12,2007,New,11.898187865760873,4014,2240.0,3,1.0
2202,70,RL,63.0,4000,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,2Story,7,8,1995,Gable,None,0.0,3,BrkTil,4,3,1,6,1,GasA,3,Y,5,0,2,1,3,5,8,4,Detchd,1930,1,216.0,3,3,0,0,0,0,0,6,2007,WD ,11.908340237224891,3937,1629.0,4,2.0
2833,160,RM,32.0,3363,Pave,4,Lvl,4,Inside,3,Norm,Norm,TwnhsE,2Story,7,5,2004,Gable,Stone,117.0,3,PConc,4,3,1,1,1,GasA,5,Y,5,0,3,1,4,7,4,0,Detchd,2004,1,380.0,3,3,0,40,0,0,0,4,2006,WD ,11.77528972943772,4010,2684.0,1,2.0
1707,20,RL,94.0,13615,Pave,3,HLS,4,Corner,2,Norm,Norm,1Fam,1Story,9,5,2006,Hip,Stone,510.0,3,PConc,5,3,5,1,1,GasA,5,Y,5,0,3,1,5,7,8,4,Attchd,2006,3,843.0,3,3,158,105,0,0,0,6,2007,WD ,12.826649133255284,4013,3604.0,5,2.5
2428,120,RL,43.0,3013,Pave,4,Lvl,4,Inside,3,Norm,Norm,TwnhsE,1Story,7,5,2005,Gable,BrkFace,145.0,3,PConc,4,3,5,6,1,GasA,5,Y,5,0,2,1,4,6,8,4,Attchd,2005,3,440.0,3,3,142,20,0,0,0,4,2006,WD ,12.27134527214637,4011,2868.0,4,2.0
242,20,RL,44.0,17485,Pave,2,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,7,5,2010,Gable,Stone,96.0,3,PConc,4,3,5,6,1,GasA,5,Y,5,0,1,1,4,5,8,3,Attchd,2009,2,572.0,3,3,0,0,0,0,0,1,2010,Con,12.637952459809789,4019,3016.0,1,2.0
1564,20,RL,74.0,23730,Pave,2,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,7,5,1997,Gable,BrkFace,668.0,3,PConc,5,3,3,6,1,GasA,5,Y,5,0,3,1,4,7,8,0,Attchd,1996,3,786.0,3,3,0,46,192,0,0,9,2008,WD ,12.611537753638338,4004,3872.0,3,4.0
2613,20,RL,79.0,8910,Pave,4,Lvl,4,Corner,3,Norm,Norm,1Fam,1Story,6,6,1959,Hip,None,0.0,3,CBlock,3,3,3,5,1,GasA,5,Y,5,0,3,1,3,6,8,2,BuiltIn,1954,3,539.0,3,3,0,0,192,0,0,7,2006,WD ,11.979799201207037,3965,1849.0,3,1.5
2832,160,RM,24.0,2522,Pave,4,Lvl,4,Inside,3,Norm,Norm,Twnhs,2Story,7,5,2004,Gable,Stone,50.0,3,PConc,4,3,1,1,1,GasA,5,Y,5,0,3,1,4,7,4,0,Detchd,2004,1,380.0,3,3,0,40,0,0,0,4,2006,WD ,11.831379196088763,4010,2679.0,1,2.0
2459,20,RL,73.0,8688,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,7,5,2005,Gable,BrkFace,228.0,3,PConc,4,3,4,1,1,GasA,5,Y,5,0,3,1,4,7,8,0,Attchd,2005,2,834.0,3,3,208,59,0,0,0,4,2006,WD ,12.354492650648448,4011,3232.0,4,2.0
1360,30,RM,60.0,6291,Grvl,3,Lvl,4,Inside,3,RRNe,Norm,1Fam,1Story,6,6,1950,Gable,None,0.0,4,BrkTil,3,3,1,1,1,GasA,3,Y,5,0,1,1,3,4,8,0,Detchd,1930,1,440.0,3,1,0,0,84,0,0,7,2008,WD ,11.449453042014655,3938,1536.0,1,1.0
2723,30,RL,70.0,17529,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,5,5,1950,Gable,Stone,65.0,3,BrkTil,3,3,1,1,1,GasA,2,N,3,0,2,1,2,5,5,4,Detchd,1924,1,322.0,2,1,0,0,116,0,0,4,2006,WD ,11.56171562913966,3930,1744.0,2,1.0
1350,30,RM,60.0,6324,Pave,3,Lvl,4,Inside,3,Feedr,RRNn,1Fam,1Story,4,6,1950,Gable,None,0.0,3,BrkTil,3,3,1,1,1,GasA,2,N,5,0,1,1,2,4,8,0,Detchd,1920,1,240.0,2,3,49,0,87,0,0,5,2008,WD ,11.134589024250317,3935,1040.0,2,1.0
